name,station,owner,duid,connection_id,connection_voltage,generator_classification,market_generator,schedule_type,updated_on,position,region,fuel_source_primary,fuel_source_secondary,tech_type_primary,tech_type_secondary,marker_type,reg_cap,max_cap,mlf_11,mlf_12,mlf_13,mlf_14,mlf_15,mlf_16,mlf_17,mlf_18,mlf_19,mlf_20
Bluff Point WF,WOOLNTH1,Hydro-Electric Corporation,WOOLNTH1,TST11,110,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-40.735036397389635,""lng"":144.6942419575767}",TAS,Wind,Wind,Renewable,Wind - Onshore,Wind,140,140,0.9175,0.9072,0.8972,0.9037,0.8913,0.8944,0.912,0.9025,0.8952, 0.8900 
Studland Bay WF,WOOLNTH1,Hydro-Electric Corporation,WOOLNTH1,TST11,110,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-40.79045911836173,""lng"":144.72542967571397}",TAS,Wind,Wind,Renewable,Wind - Onshore,Wind,140,140,0.9175,0.9072,0.8972,0.9037,0.8913,0.8944,0.912,0.9025,0.8952, 0.8900 
Tamar Valley CCGT,TVCCPS,Aurora Energy (Tamar Valley) Pty Ltd,TVCC201,TTV11A,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.138390644464344,""lng"":146.9046714805557}",TAS,Gas,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),Gas,208,208,0.9993,0.9988,0.9989,0.9991,0.999,0.9996,1,1,0.9999, 1.0000 
Tamar Valley OCGT,BBP31,Aurora Energy (Tamar Valley) Pty Ltd,TVPP104,TBB14A,110,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-41.138390644464344,""lng"":146.9046714805557}",TAS,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,58,58,0.9996,0.9979,0.9994,0.9999,0.9999,0.9995,1.0001,1.0001,1.0003, 0.9997 
Bell Bay GTs,BBP31,Aurora Energy (Tamar Valley) Pty Ltd,BBTHREE1,TBB11,110,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-41.138390644464344,""lng"":146.90077301578853}",TAS,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,35,49,0.9996,0.9979,0.9994,0.9999,0.9999,0.9995,1.0001,1.0001,1.0003, 0.9997 
Bell Bay GTs,BBP31,Aurora Energy (Tamar Valley) Pty Ltd,BBTHREE2,TBB12,110,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-41.138390644464344,""lng"":146.90077301578853}",TAS,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,35,49,0.9996,0.9979,0.9994,0.9999,0.9999,0.9995,1.0001,1.0001,1.0003, 0.9997 
Bell Bay GTs,BBP31,Aurora Energy (Tamar Valley) Pty Ltd,BBTHREE3,TBB13,110,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-41.138390644464344,""lng"":146.90077301578853}",TAS,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,35,49,0.9996,0.9979,0.9994,0.9999,0.9999,0.9995,1.0001,1.0001,1.0003, 0.9997 
Mussleroe Bay WF,MUSSELRO,Hydro-Electric Corporation,MUSSELR1,TDE11M,110,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-40.77814295814571,""lng"":148.0079370096616}",TAS,Wind,Wind,Renewable,Wind - Onshore,Wind,168,168,,,0.913,0.9203,0.8957,0.9039,0.9193,0.9133,0.9105, 0.9060 
Devils Gate,DEVILS_G,Hydro-Electric Corporation,DEVILS_G,TDG11,110,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.35084440819072,""lng"":146.2614247939745}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,60,65,0.9804,0.9735,0.9715,0.971,0.9639,0.9719,0.97,0.9703,0.9692, 0.9698 
Paloona PS,PALOONA,Hydro-Electric Corporation,PALOONA,TPA11,110,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-41.2831055270026,""lng"":146.24972939967301}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,28,33,0.9835,0.9752,0.9736,0.9732,0.9657,0.983,0.9754,0.9668,0.9771, 0.9702 
Trevallyn PS,TREVALLN,Hydro-Electric Corporation,TREVALLN,TTR11,110,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.42166232943284,""lng"":147.1112901132151}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,80,103,1.0097,1.0096,0.9974,0.9901,0.9745,0.9857,0.9927,0.9898,0.9909, 0.9889 
